model,model_adj_r2,model_aic,model_bic,model_f_stat,model_f_stat_pval,model_r2,pred_coef,pred_col,pred_col_pval,pred_num_miss
Effective School Leadership %,-0.0012434911298522255,4980.746961619099,4988.961007394584,0.4436078425387293,0.505729794090688,0.000991427377134091,27.358176497583788,const,0.2592639501913174,
Effective School Leadership %,-0.0012434911298522255,4980.746961619099,4988.961007394584,0.4436078425387293,0.505729794090688,0.000991427377134091,19.535344108528175,Effective School Leadership %,0.5057297940905533,0.0
Strong Family-Community Ties %,0.08178576563354689,4941.8782603283,4950.092306103785,40.90356676305481,4.035692072228956e-10,0.0838353509781149,245.89813445096203,const,6.920865278084415e-14,
Strong Family-Community Ties %,0.08178576563354689,4941.8782603283,4950.092306103785,40.90356676305481,4.035692072228956e-10,0.0838353509781149,-252.44791196380436,Strong Family-Community Ties %,4.035692072229715e-10,0.0
Trust %,0.00042430982867025513,4979.9984254087185,4988.212471184203,1.1901714948786954,0.2758826690687625,0.0026555055656598547,-0.6150021523126754,const,0.987868807828083,
Trust %,0.00042430982867025513,4979.9984254087185,4988.212471184203,1.1901714948786954,0.2758826690687625,0.0026555055656598547,49.225203046678644,Trust %,0.2758826690688076,0.0
Average ELA Proficiency,0.2296030253513648,4863.067624825282,4871.281670600767,134.5183791503401,2.2650546439781606e-27,0.23132266145549119,-155.29242447452356,const,8.432324654974063e-18,
Average ELA Proficiency,0.2296030253513648,4863.067624825282,4871.281670600767,134.5183791503401,2.2650546439781606e-27,0.23132266145549119,78.46475131424599,Average ELA Proficiency,2.2650546439786912e-27,0.0
Average Math Proficiency,0.2443399004311828,4854.395521117265,4862.60956689275,145.85914428409106,2.93226275536943e-29,0.24602664172486322,-123.36510615873273,const,3.282494228131903e-17,
Average Math Proficiency,0.2443399004311828,4854.395521117265,4862.60956689275,145.85914428409106,2.93226275536943e-29,0.24602664172486322,64.1747095486559,Average Math Proficiency,2.932262755370018e-29,0.0
asian_pacific_2016_num_students,0.5190348320042111,3239.9052612980286,3247.345884851243,329.0624033270153,2.6590368770384084e-50,0.5206169542673551,25.513242032442083,const,1.491151415811572e-13,
asian_pacific_2016_num_students,0.5190348320042111,3239.9052612980286,3247.345884851243,329.0624033270153,2.6590368770384084e-50,0.5206169542673551,0.2806692053261453,asian_pacific_2016_num_students,2.6590368770383937e-50,144.0
asian_pacific_2017_num_students,0.5150641081948525,3399.4498476426375,3406.9927298888974,340.8810387262065,2.7651683420743892e-52,0.5165795328567435,25.5649442465661,const,9.312622227078725e-15,
asian_pacific_2017_num_students,0.5150641081948525,3399.4498476426375,3406.9927298888974,340.8810387262065,2.7651683420743892e-52,0.5165795328567435,0.26968891137666723,asian_pacific_2017_num_students,2.7651683420745573e-52,128.0
avg_math_proficiency_2016,0.24157020184796363,4856.03821888954,4864.252264665025,143.69409072742283,6.679300725708652e-29,0.24326312550455298,-118.14175567209651,const,1.2019857042531502e-16,
avg_math_proficiency_2016,0.24157020184796363,4856.03821888954,4864.252264665025,143.69409072742283,6.679300725708652e-29,0.24326312550455298,61.513629675271744,avg_math_proficiency_2016,6.67930072570971e-29,0.0
avg_math_proficiency_2016_city_diff,0.2724485219142414,4837.375316491089,4845.5893622665735,168.76398852040123,5.817329122470295e-33,0.27407252074925426,51.52759830056002,const,2.4369049125072817e-64,
avg_math_proficiency_2016_city_diff,0.2724485219142414,4837.375316491089,4845.5893622665735,168.76398852040123,5.817329122470295e-33,0.27407252074925426,66.54355146195611,avg_math_proficiency_2016_city_diff,5.817329122471362e-33,0.0
avg_math_proficiency_2016_comp_diff,0.011778955074323028,4974.86883536925,4983.0828811447345,6.339869961678068,0.01215374746292481,0.013984805621032215,43.786653845352205,const,8.930567193570644e-42,
avg_math_proficiency_2016_comp_diff,0.011778955074323028,4974.86883536925,4983.0828811447345,6.339869961678068,0.01215374746292481,0.013984805621032215,42.80633943980446,avg_math_proficiency_2016_comp_diff,0.012153747462926814,0.0
avg_math_proficiency_2017,0.23775981047795658,4848.342532845242,4856.552119310072,140.42932522396606,2.365694842374332e-28,0.23946504580127204,-112.99015015071978,const,5.811500033631477e-16,
avg_math_proficiency_2017,0.23775981047795658,4848.342532845242,4856.552119310072,140.42932522396606,2.365694842374332e-28,0.23946504580127204,59.62203667851274,avg_math_proficiency_2017,2.365694842374191e-28,1.0
avg_math_proficiency_2017_city_diff,0.2809439037467102,4822.214124138302,4830.423710603132,175.64830022182693,4.900563366513918e-34,0.2825525303602522,52.73330426288996,const,4.3836408341412003e-66,
avg_math_proficiency_2017_city_diff,0.2809439037467102,4822.214124138302,4830.423710603132,175.64830022182693,4.900563366513918e-34,0.2825525303602522,66.59515181632659,avg_math_proficiency_2017_city_diff,4.900563366513015e-34,1.0
avg_math_proficiency_2017_comp_diff,0.01567739940672086,4962.892537236981,4971.102123701811,8.11941139071721,0.004582157398266276,0.017879463390150896,44.88607565115876,const,1.775637656489922e-42,
avg_math_proficiency_2017_comp_diff,0.01567739940672086,4962.892537236981,4971.102123701811,8.11941139071721,0.004582157398266276,0.017879463390150896,55.12284804362531,avg_math_proficiency_2017_comp_diff,0.004582157398265754,1.0
black_2016_avg_ela,0.11727371512624962,4359.246884361802,4367.21978837237,53.74303677473471,1.2975539402597717e-12,0.11949720702769495,-132.36490831471409,const,6.648166887836294e-08,
black_2016_avg_ela,0.11727371512624962,4359.246884361802,4367.21978837237,53.74303677473471,1.2975539402597717e-12,0.11949720702769495,67.94489337904497,black_2016_avg_ela,1.2975539402597145e-12,51.0
black_2016_avg_math,0.09432215762835383,4318.577227135282,4326.524846359021,41.82498661278085,2.98351176984788e-10,0.09663256028746514,-75.09718243062626,const,5.573398376064505e-05,
black_2016_avg_math,0.09432215762835383,4318.577227135282,4326.524846359021,41.82498661278085,2.98351176984788e-10,0.09663256028746514,48.5126847672296,black_2016_avg_math,2.983511769847963e-10,56.0
black_2016_incoming_ela,0.22900002075225545,2999.9929347254847,3007.1897786434815,80.89754505889886,4.448516678451617e-17,0.23186619167882705,-229.289098534421,const,2.3687139528110705e-12,
black_2016_incoming_ela,0.22900002075225545,2999.9929347254847,3007.1897786434815,80.89754505889886,4.448516678451617e-17,0.23186619167882705,115.49674518597774,black_2016_incoming_ela,4.448516678451632e-17,179.0
black_2016_incoming_math,0.1953289896312047,3046.82249694741,3054.04144053778,67.02634430105473,1.0586088514824802e-14,0.19828733893403117,-193.0149325914154,const,5.162976149616318e-10,
black_2016_incoming_math,0.1953289896312047,3046.82249694741,3054.04144053778,67.02634430105473,1.0586088514824802e-14,0.19828733893403117,101.73927458048033,black_2016_incoming_math,1.0586088514825003e-14,176.0
black_2016_num_students,0.0022129577350062934,4864.610237794171,4872.774675614924,1.969207345088875,0.16124378173592632,0.004496223277946743,47.85557447483305,const,2.2711796917631295e-28,
black_2016_num_students,0.0022129577350062934,4864.610237794171,4872.774675614924,1.969207345088875,0.16124378173592632,0.004496223277946743,-0.024937893840385805,black_2016_num_students,0.1612437817359412,11.0
black_2017_avg_ela,0.13090192387130173,4376.977994741838,4384.9609238360545,61.09663242760999,4.905419650986557e-14,0.13308011453829094,-146.3504637731115,const,4.6989258225817684e-09,
black_2017_avg_ela,0.13090192387130173,4376.977994741838,4384.9609238360545,61.09663242760999,4.905419650986557e-14,0.13308011453829094,72.10891641009897,black_2017_avg_ela,4.905419650984741e-14,49.0
black_2017_avg_math,0.07597489496916654,4370.946298399456,4378.91417096083,33.559784624884244,1.4128404188798273e-08,0.07830829169904241,-61.22064305582093,const,0.0008818155331768373,
black_2017_avg_math,0.07597489496916654,4370.946298399456,4378.91417096083,33.559784624884244,1.4128404188798273e-08,0.07830829169904241,43.41149240509922,black_2017_avg_math,1.4128404188798246e-08,52.0
black_2017_incoming_ela,0.23601441377188248,3003.141027986863,3010.3378719048596,84.10088364112103,1.2885048271626155e-17,0.23885450888797222,-240.77313370893992,const,9.072853905140755e-13,
black_2017_incoming_ela,0.23601441377188248,3003.141027986863,3010.3378719048596,84.10088364112103,1.2885048271626155e-17,0.23885450888797222,117.65861482211778,black_2017_incoming_ela,1.2885048271625907e-17,179.0
black_2017_incoming_math,0.20230998771516262,3002.850637805164,3010.0400605643676,68.97010852920543,5.060277271590375e-15,0.2052864429848822,-199.73372571168878,const,2.7511092195615374e-10,
black_2017_incoming_math,0.20230998771516262,3002.850637805164,3010.0400605643676,68.97010852920543,5.060277271590375e-15,0.2052864429848822,103.85827707160124,black_2017_incoming_math,5.060277271590426e-15,180.0
black_2017_num_students,0.0024083843856214093,4884.942506212548,4893.116055666373,2.059833231092939,0.15194040395539918,0.004680802644424165,47.77894813888024,const,7.384639288641268e-29,
black_2017_num_students,0.0024083843856214093,4884.942506212548,4893.116055666373,2.059833231092939,0.15194040395539918,0.004680802644424165,-0.02522417428723895,black_2017_num_students,0.1519404039554005,9.0
econ_need_index_2016_city_diff,0.16718332960141957,4898.048137629977,4906.262183405462,90.93351637112433,9.633906472729016e-20,0.1690422953835593,48.30726528716229,const,5.602431038903993e-54,
econ_need_index_2016_city_diff,0.16718332960141957,4898.048137629977,4906.262183405462,90.93351637112433,9.633906472729016e-20,0.1690422953835593,-128.20145293236155,econ_need_index_2016_city_diff,9.633906472730816e-20,0.0
econ_need_index_2016_dist_diff,0.060229201365277873,4952.297431106399,4960.511476881884,29.711981954370504,8.302416862211341e-08,0.06232690404080188,44.876933264554125,const,6.251936259001177e-45,
econ_need_index_2016_dist_diff,0.060229201365277873,4952.297431106399,4960.511476881884,29.711981954370504,8.302416862211341e-08,0.06232690404080188,-122.06340964320799,econ_need_index_2016_dist_diff,8.302416862213071e-08,0.0
econ_need_index_2016_val,0.17468820761745163,4893.983659737848,4902.197705513333,95.82515303300445,1.2472752071689364e-20,0.1765304214397342,130.3987605741983,const,2.013910648723286e-37,
econ_need_index_2016_val,0.17468820761745163,4893.983659737848,4902.197705513333,95.82515303300445,1.2472752071689364e-20,0.1765304214397342,-131.43525285596817,econ_need_index_2016_val,1.2472752071690954e-20,0.0
econ_need_index_2017_city_diff,0.17667164472101504,4892.903298216351,4901.117343991836,97.13284460267991,7.24513999818943e-21,0.17850943122833418,49.14120510853212,const,2.079920153116783e-55,
econ_need_index_2017_city_diff,0.17667164472101504,4892.903298216351,4901.117343991836,97.13284460267991,7.24513999818943e-21,0.17850943122833418,-126.52767516880452,econ_need_index_2017_city_diff,7.245139998190749e-21,0.0
econ_need_index_2017_dist_diff,0.06878528271146045,4948.190817482749,4956.4048632582335,34.09205286667088,1.0120278531139929e-08,0.07086388699112245,45.67823383889862,const,3.783330437793424e-46,
econ_need_index_2017_dist_diff,0.06878528271146045,4948.190817482749,4956.4048632582335,34.09205286667088,1.0120278531139929e-08,0.07086388699112245,-125.44239777898066,econ_need_index_2017_dist_diff,1.0120278531142088e-08,0.0
econ_need_index_2017_val,0.1847808883224954,4888.459020369389,4896.673066144874,102.54550694737134,7.760344386657564e-22,0.1866005738396327,127.59153006298034,const,7.3329171320844725e-40,
econ_need_index_2017_val,0.1847808883224954,4888.459020369389,4896.673066144874,102.54550694737134,7.760344386657564e-22,0.1866005738396327,-129.92117378075233,econ_need_index_2017_val,7.76034438665892e-22,0.0
grade_7_2015_enrollment,0.6694883170991788,4318.856667858887,4326.988884039094,872.0130117821973,2.09180269193879e-105,0.6702569489198783,-11.598811265099243,const,7.950190638296533e-06,
grade_7_2015_enrollment,0.6694883170991788,4318.856667858887,4326.988884039094,872.0130117821973,2.09180269193879e-105,0.6702569489198783,0.41626547396408187,grade_7_2015_enrollment,2.09180269193876e-105,18.0
grade_7_2016_enrollment,0.696134663230279,4445.353360507831,4453.567406283316,1027.3372994186193,6.559945739556762e-118,0.6968129340712828,-10.672840746853336,const,6.05632802848667e-06,
grade_7_2016_enrollment,0.696134663230279,4445.353360507831,4453.567406283316,1027.3372994186193,6.559945739556762e-118,0.6968129340712828,0.41575755568888006,grade_7_2016_enrollment,6.559945739557136e-118,0.0
grade_7_2017_enrollment,0.7409888529577284,4364.41356848424,4372.62315494907,1279.7944497927256,3.933034672998692e-133,0.7415682962397021,-12.926483114369798,const,5.0420541077189885e-09,
grade_7_2017_enrollment,0.7409888529577284,4364.41356848424,4372.62315494907,1279.7944497927256,3.933034672998692e-133,0.7415682962397021,0.43378714069051494,grade_7_2017_enrollment,3.933034672998353e-133,1.0
grade_8_2015_enrollment,0.635231869990576,4129.6441859581255,4137.656892277329,706.2943669709758,1.0153815900252753e-90,0.636132532039982,-9.508468065281225,const,0.0008363153877958024,
grade_8_2015_enrollment,0.635231869990576,4129.6441859581255,4137.656892277329,706.2943669709758,1.0153815900252753e-90,0.636132532039982,0.39512471345260575,grade_8_2015_enrollment,1.0153815900251676e-90,43.0
grade_8_2016_enrollment,0.6692845076413462,4309.961808542775,4318.08937896015,869.1874917028646,4.157103140664898e-105,0.6700554062249328,-10.72208597420816,const,3.184651579408309e-05,
grade_8_2016_enrollment,0.6692845076413462,4309.961808542775,4318.08937896015,869.1874917028646,4.157103140664898e-105,0.6700554062249328,0.4111784111681489,grade_8_2016_enrollment,4.157103140664942e-105,19.0
grade_8_2017_enrollment,0.6885867795411142,4456.370061009352,4464.584106784837,991.603021862224,1.5879435269842294e-115,0.6892818983367814,-10.201098316484236,const,1.8334819695767616e-05,
grade_8_2017_enrollment,0.6885867795411142,4456.370061009352,4464.584106784837,991.603021862224,1.5879435269842294e-115,0.6892818983367814,0.4074305652890703,grade_8_2017_enrollment,1.5879435269847093e-115,0.0
hispanic_2016_avg_ela,0.10952954268540793,4691.611030222093,4699.719908914632,53.27580012219626,1.4414491324708865e-12,0.11162476729085391,-115.81827721156648,const,2.820940193976267e-07,
hispanic_2016_avg_ela,0.10952954268540793,4691.611030222093,4699.719908914632,53.27580012219626,1.4414491324708865e-12,0.11162476729085391,61.796130688820284,hispanic_2016_avg_ela,1.4414491324707007e-12,23.0
hispanic_2016_avg_math,0.08663122426517156,4702.427080217436,4710.535958909974,41.31041052731041,3.499749441431827e-10,0.08878032726690044,-66.74615277273583,const,0.00017035867209771874,
hispanic_2016_avg_math,0.08663122426517156,4702.427080217436,4710.535958909974,41.31041052731041,3.499749441431827e-10,0.08878032726690044,44.43319624915643,hispanic_2016_avg_math,3.499749441431668e-10,23.0
hispanic_2016_incoming_ela,0.1808432176971031,3223.3469044594167,3230.665868890936,64.13951294643219,2.975944140415866e-14,0.18370740225060977,-184.21382139036,const,2.6386960674536677e-09,
hispanic_2016_incoming_ela,0.1808432176971031,3223.3469044594167,3230.665868890936,64.13951294643219,2.975944140415866e-14,0.18370740225060977,97.64378099880354,hispanic_2016_incoming_ela,2.975944140415901e-14,162.0
hispanic_2016_incoming_math,0.20152989215864003,3226.6077299252443,3233.9336508855163,73.43737552792795,6.58814227281783e-16,0.20431201796993403,-175.7244841486334,const,3.5310643519725505e-10,
hispanic_2016_incoming_math,0.20152989215864003,3226.6077299252443,3233.9336508855163,73.43737552792795,6.58814227281783e-16,0.20431201796993403,92.62338173335735,hispanic_2016_incoming_math,6.588142272817657e-16,161.0
